_id,theaterId,location
59a47286cfa9a3a73e51e72c,1000,"{'address': {'street1': '340 W Market', 'city': 'Bloomington', 'state': 'MN', 'zipcode': '55425'}, 'geo': {'type': 'Point', 'coordinates': [-93.24565, 44.85466]}}"
59a47286cfa9a3a73e51e72d,1003,"{'address': {'street1': '45235 Worth Ave.', 'city': 'California', 'state': 'MD', 'zipcode': '20619'}, 'geo': {'type': 'Point', 'coordinates': [-76.512016, 38.29697]}}"
59a47286cfa9a3a73e51e72e,1008,"{'address': {'street1': '1621 E Monte Vista Ave', 'city': 'Vacaville', 'state': 'CA', 'zipcode': '95688'}, 'geo': {'type': 'Point', 'coordinates': [-121.96328, 38.367649]}}"
59a47286cfa9a3a73e51e72f,1004,"{'address': {'street1': '5072 Pinnacle Sq', 'city': 'Birmingham', 'state': 'AL', 'zipcode': '35235'}, 'geo': {'type': 'Point', 'coordinates': [-86.642662, 33.605438]}}"
59a47286cfa9a3a73e51e730,1002,"{'address': {'street1': '1900 E Rio Salado Pkwy', 'city': 'Tempe', 'state': 'AZ', 'zipcode': '85281'}, 'geo': {'type': 'Point', 'coordinates': [-111.89966, 33.430729]}}"
59a47286cfa9a3a73e51e731,1010,"{'address': {'street1': '1025 Veterans Pkwy', 'city': 'Clarksville', 'state': 'IN', 'zipcode': '47129'}, 'geo': {'type': 'Point', 'coordinates': [-85.76461, 38.327175]}}"
59a47286cfa9a3a73e51e732,1014,"{'address': {'street1': '155 Los Altos Pkwy', 'city': 'Sparks', 'state': 'NV', 'zipcode': '89436'}, 'geo': {'type': 'Point', 'coordinates': [-119.7412, 39.579536]}}"
59a47286cfa9a3a73e51e733,1012,"{'address': {'street1': '1207 W Century Ave', 'city': 'Bismarck', 'state': 'ND', 'zipcode': '58503'}, 'geo': {'type': 'Point', 'coordinates': [-100.81213, 46.829876]}}"
59a47286cfa9a3a73e51e734,1009,"{'address': {'street1': '6310 E Pacific Coast Hwy', 'city': 'Long Beach', 'state': 'CA', 'zipcode': '90803'}, 'geo': {'type': 'Point', 'coordinates': [-118.11414, 33.760353]}}"
59a47286cfa9a3a73e51e735,1013,"{'address': {'street1': '9901 Brook Rd', 'city': 'Glen Allen', 'state': 'VA', 'zipcode': '23059'}, 'geo': {'type': 'Point', 'coordinates': [-77.459908, 37.667957]}}"
